Unnamed: 0,Site Ref.,HL1,HL2,HL3,Remarks
,N011,,,Y,
,N012,,,Y,
,N021,,,Y,
,N022,,,Y,
,N031,,,Y,
,N032,,,Y,
,N041,,Y,Y,
,N042,,Y,Y,
,N043,,Y,Y,
,N044,,Y,Y,
,N051,,,Y,
,N052,,,Y,
,N061,,,Y,
,N062,,,Y,
,N071,,Y,Y,
,N072,,Y,Y,
,N080,,,,Site without A/D
,N091,,,Y,
,N092,,,Y,
,N101,,,Y,
,N102,,,Y,
,N111,,,Y,
,N112,,,Y,
,N121,,,Y,
,N122,,,Y,
,N130,,,,Site without A/D
,N141,,,Y,
,N142,,,Y,
,N151,,,Y,
,N152,,,Y,
,N161,,,Y,
,N162,,,Y,
,N171,,,Y,
,N172,,,Y,
,N181,,,Y,
,N182,,,Y,
,N191,,,Y,
,N192,,,Y,
,N201,Y,Y,Y,
,N202,,,Y,
,N203,Y,Y,Y,
,N204,Y,Y,Y,
,N205,,,Y,
,N206,,Y,,
,N207,,,Y,
,N210,,,,Site without A/D
,N221,,,Y,
,N222,,,Y,
,N231,,,Y,
,N232,,,Y,
,N241,,,Y,
,N242,,,Y,
,N251,,,Y,
,N252,,,Y,
,N261,,,Y,
,N262,,,Y,
,N271,,,Y,
,N272,,,Y,
,N281,,,Y,
,N282,,,Y,
,N291,,,Y,
,N292,,,Y,
,N300,,,,Site without A/D
,N311,,,Y,
,N312,,,Y,
,N321,,,Y,
,N322,,,Y,
,N331,,,Y,
,N332,,,Y,
,N341,,,Y,
,N342,,,Y,
,N351,,Y,Y,
,N352,,Y,Y,
,N361,,,Y,
,N362,,,Y,
,N371,,,Y,
,N372,,,Y,
,N381,,,Y,
,N382,,,Y,
,N391,,Y,Y,
,N392,,Y,Y,
,N401,,,Y,
,N402,,,Y,
,N411,,,Y,
,N412,,,Y,
,N421,,,Y,
,N422,,,Y,
,N430,,,,Site without A/D
,N441,,,Y,
,N442,,,Y,
,N451,,,Y,
,N452,,,Y,
,N461,,,Y,
,N462,,,Y,
,N471,,,Y,
,N472,Y,Y,,
,N473,,,Y,
,N474,Y,Y,,
,N480,,,,Site without A/D
,N491,,,Y,
,N492,,,Y,
,N501,,,Y,
,N502,,,Y,
,N511,,,Y,
,N512,,,Y,
,COUNT,5,16,96,
