episode,risk_repair_rate,risk_after,low_qot_after,avg_osnr_after
5,0.09883597883597883,5.766666666666667,4.3,35.90442222222222
10,0.13654761904761903,5.8,4.333333333333333,35.90222222222222
15,0.15357142857142855,5.666666666666667,4.2,35.909911111111114
20,0.1496296296296296,5.733333333333333,4.266666666666667,35.9134
25,0.15325517075517076,5.666666666666667,4.2,35.934466666666665
30,0.13305555555555554,5.766666666666667,4.3,35.96228888888889
35,0.12461640211640211,5.733333333333333,4.266666666666667,35.92984444444444
40,0.06865079365079364,5.8,4.333333333333333,35.931066666666666
45,0.12533068783068782,5.866666666666666,4.4,35.91753333333333
50,0.11268638768638768,5.8,4.333333333333333,35.892377777777774
55,0.10809523809523809,5.833333333333333,4.366666666666666,35.91851111111111
60,0.0955952380952381,5.966666666666667,4.5,35.88933333333333
65,0.049999999999999996,6.266666666666667,4.833333333333333,35.806044444444446
70,0.08392857142857142,6.033333333333333,4.6,35.83193333333333
75,0.07448412698412699,6.166666666666667,4.733333333333333,35.77375555555555
80,0.0467989417989418,6.266666666666667,4.833333333333333,35.80844444444445
85,0.04952380952380952,6.133333333333334,4.7,35.8888
90,0.05564814814814815,6.3,4.866666666666666,35.857844444444446
95,0.06633597883597883,6.166666666666667,4.733333333333333,35.879488888888886
100,0.03033068783068783,6.3,4.866666666666666,35.8342
105,0.07578042328042328,6.2,4.766666666666667,35.77415555555556
110,0.05588624338624339,6.233333333333333,4.8,35.7912
115,0.05037037037037037,6.333333333333333,4.9,35.86088888888889
120,0.03878306878306878,6.366666666666666,4.933333333333334,35.839844444444445
125,0.024259259259259258,6.4,4.966666666666667,35.855177777777776
130,0.06866402116402116,6.166666666666667,4.733333333333333,35.809777777777775
135,0.07355820105820106,6.233333333333333,4.8,35.83293333333334
140,0.076005291005291,6.2,4.766666666666667,35.85262222222222
145,0.08092592592592593,6.2,4.766666666666667,35.797422222222224
150,0.01541005291005291,6.166666666666667,4.733333333333333,35.854933333333335
155,0.06424603174603175,6.233333333333333,4.8,35.84193333333333
160,0.059616402116402116,6.3,4.866666666666666,35.83291111111111
165,0.04734126984126984,6.3,4.866666666666666,35.78653333333333
170,0.032301587301587296,6.266666666666667,4.833333333333333,35.82071111111111
175,0.04304232804232804,6.2,4.766666666666667,35.82295555555555
180,0.039113756613756614,6.333333333333333,4.9,35.790533333333336
185,0.049074074074074076,6.166666666666667,4.733333333333333,35.833422222222225
190,0.09763227513227513,6.133333333333334,4.7,35.87226666666667
195,0.05304232804232804,6.333333333333333,4.9,35.83471111111111
200,0.017579365079365077,6.233333333333333,4.8,35.7726
